t,variable,order,source,value
0,x,0,supervisor,0.2
0,x,1,supervisor,0.0
0,y,0,supervisor,-0.275
0,y,1,supervisor,0.0
0,z,0,supervisor,1.025
0,z,1,supervisor,0.0
0.008,x,0,supervisor,0.20081595889693213
0.008,x,1,supervisor,0.0
0.008,y,0,supervisor,-0.2748715340887551
0.008,y,1,supervisor,0.0
0.008,z,0,supervisor,1.025
0.008,z,1,supervisor,0.0
0.016,x,0,supervisor,0.20180762867642593
0.016,x,1,supervisor,0.0
0.016,y,0,supervisor,-0.27461303575758705
0.016,y,1,supervisor,0.0
0.016,z,0,supervisor,1.025
0.016,z,1,supervisor,0.0
0.024,x,0,supervisor,0.2029745086908238
0.024,x,1,supervisor,0.0
0.024,y,0,supervisor,-0.2742226015880505
0.024,y,1,supervisor,0.0
0.024,z,0,supervisor,1.025
0.024,z,1,supervisor,0.0
0.032,x,0,supervisor,0.2043158395704468
0.032,x,1,supervisor,0.0
0.032,y,0,supervisor,-0.2736979928691905
0.032,y,1,supervisor,0.0
0.032,z,0,supervisor,1.025
0.032,z,1,supervisor,0.0
0.04,x,0,supervisor,0.20583059606569884
0.04,x,1,supervisor,0.0
0.04,y,0,supervisor,-0.27303663806024114
0.04,y,1,supervisor,0.0
0.04,z,0,supervisor,1.025
0.04,z,1,supervisor,0.0
0.048,x,0,supervisor,0.20751747883132135
0.048,x,1,supervisor,0.0
0.048,y,0,supervisor,-0.27223563613070956
0.048,y,1,supervisor,0.0
0.048,z,0,supervisor,1.025
0.048,z,1,supervisor,0.0
0.056,x,0,supervisor,0.20937490516787305
0.056,x,1,supervisor,0.0
0.056,y,0,supervisor,-0.27129176081470696
0.056,y,1,supervisor,0.0
0.056,z,0,supervisor,1.025
0.056,z,1,supervisor,0.0
0.064,x,0,supervisor,0.21140099874000198
0.064,x,1,supervisor,0.0
0.064,y,0,supervisor,-0.27020146582083837
0.064,y,1,supervisor,0.0
0.064,z,0,supervisor,1.025
0.064,z,1,supervisor,0.0
0.07200000000000001,x,0,supervisor,0.21359357829544282
0.07200000000000001,x,1,supervisor,0.0
0.07200000000000001,y,0,supervisor,-0.2689608910435652
0.07200000000000001,y,1,supervisor,0.0
0.07200000000000001,z,0,supervisor,1.025
0.07200000000000001,z,1,supervisor,0.0
0.08000000000000002,x,0,supervisor,0.2159501454136515
0.08000000000000002,x,1,supervisor,0.0
0.08000000000000002,y,0,supervisor,-0.2675658698261472
0.08000000000000002,y,1,supervisor,0.0
0.08000000000000002,z,0,supervisor,1.025
0.08000000000000002,z,1,supervisor,0.0
0.08800000000000002,x,0,supervisor,0.21846787131769455
0.08800000000000002,x,1,supervisor,0.0
0.08800000000000002,y,0,supervisor,-0.2660119373297282
0.08800000000000002,y,1,supervisor,0.0
0.08800000000000002,z,0,supervisor,1.025
0.08800000000000002,z,1,supervisor,0.0
0.09600000000000003,x,0,supervisor,0.22114358278873902
0.09600000000000003,x,1,supervisor,0.0
0.09600000000000003,y,0,supervisor,-0.264294340066828
0.09600000000000003,y,1,supervisor,0.0
0.09600000000000003,z,0,supervisor,1.025
0.09600000000000003,z,1,supervisor,0.0
0.10400000000000004,x,0,supervisor,0.22397374722790656
0.10400000000000004,x,1,supervisor,0.0
0.10400000000000004,y,0,supervisor,-0.26240804666147305
0.10400000000000004,y,1,supervisor,0.0
0.10400000000000004,z,0,supervisor,1.025
0.10400000000000004,z,1,supervisor,0.0
0.11200000000000004,x,0,supervisor,0.22695445691643681
0.11200000000000004,x,1,supervisor,0.0
0.11200000000000004,y,0,supervisor,-0.2603477599015694
0.11200000000000004,y,1,supervisor,0.0
0.11200000000000004,z,0,supervisor,1.025
0.11200000000000004,z,1,supervisor,0.0
0.12000000000000005,x,0,supervisor,0.2300814125315032
0.12000000000000005,x,1,supervisor,0.0
0.12000000000000005,y,0,supervisor,-0.25810793015230715
0.12000000000000005,y,1,supervisor,0.0
0.12000000000000005,z,0,supervisor,1.025
0.12000000000000005,z,1,supervisor,0.0
0.12800000000000006,x,0,supervisor,0.23334990598177763
0.12800000000000006,x,1,supervisor,0.0
0.12800000000000006,y,0,supervisor,-0.255682770202248
0.12800000000000006,y,1,supervisor,0.0
0.12800000000000006,z,0,supervisor,1.025
0.12800000000000006,z,1,supervisor,0.0
0.13600000000000007,x,0,supervisor,0.23675480263410428
0.13600000000000007,x,1,supervisor,0.0
0.13600000000000007,y,0,supervisor,-0.253066271616125
0.13600000000000007,y,1,supervisor,0.0
0.13600000000000007,z,0,supervisor,1.025
0.13600000000000007,z,1,supervisor,0.0
0.14400000000000007,x,0,supervisor,0.2402905230102061
0.14400000000000007,x,1,supervisor,0.0
0.14400000000000007,y,0,supervisor,-0.2502522226704123
0.14400000000000007,y,1,supervisor,0.0
0.14400000000000007,z,0,supervisor,1.025
0.14400000000000007,z,1,supervisor,0.0
0.15200000000000008,x,0,supervisor,0.2439510240403935
0.15200000000000008,x,1,supervisor,0.0
0.15200000000000008,y,0,supervisor,-0.24723422794921285
0.15200000000000008,y,1,supervisor,0.0
0.15200000000000008,z,0,supervisor,1.025
0.15200000000000008,z,1,supervisor,0.0
0.1600000000000001,x,0,supervisor,0.2477297799696841
0.1600000000000001,x,1,supervisor,0.0
0.1600000000000001,y,0,supervisor,-0.24400572967898093
0.1600000000000001,y,1,supervisor,0.0
0.1600000000000001,z,0,supervisor,1.025
0.1600000000000001,z,1,supervisor,0.0
0.1680000000000001,x,0,supervisor,0.2516197630206093
0.1680000000000001,x,1,supervisor,0.0
0.1680000000000001,y,0,supervisor,-0.2405600308809683
0.1680000000000001,y,1,supervisor,0.0
0.1680000000000001,z,0,supervisor,1.025
0.1680000000000001,z,1,supervisor,0.0
0.1760000000000001,x,0,supervisor,0.25561342392624925
0.1760000000000001,x,1,supervisor,0.0
0.1760000000000001,y,0,supervisor,-0.23689032042001965
0.1760000000000001,y,1,supervisor,0.0
0.1760000000000001,z,0,supervisor,1.025
0.1760000000000001,z,1,supervisor,0.0
0.1840000000000001,x,0,supervisor,0.2597026724567428
0.1840000000000001,x,1,supervisor,0.0
0.1840000000000001,y,0,supervisor,-0.2329897000273312
0.1840000000000001,y,1,supervisor,0.0
0.1840000000000001,z,0,supervisor,1.025
0.1840000000000001,z,1,supervisor,0.0
0.19200000000000012,x,0,supervisor,0.2638788580725446
0.19200000000000012,x,1,supervisor,0.0
0.19200000000000012,y,0,supervisor,-0.2288512133730776
0.19200000000000012,y,1,supervisor,0.0
0.19200000000000012,z,0,supervisor,1.025
0.19200000000000012,z,1,supervisor,0.0
0.20000000000000012,x,0,supervisor,0.26813275084818256
0.20000000000000012,x,1,supervisor,0.0
0.20000000000000012,y,0,supervisor,-0.22446787726217418
0.20000000000000012,y,1,supervisor,0.0
0.20000000000000012,z,0,supervisor,1.025
0.20000000000000012,z,1,supervisor,0.0
0.20800000000000013,x,0,supervisor,0.2724545228209997
0.20800000000000013,x,1,supervisor,0.0
0.20800000000000013,y,0,supervisor,-0.21983271502299506
0.20800000000000013,y,1,supervisor,0.0
0.20800000000000013,z,0,supervisor,1.025
0.20800000000000013,z,1,supervisor,0.0
0.21600000000000014,x,0,supervisor,0.27683372993046945
0.21600000000000014,x,1,supervisor,0.0
0.21600000000000014,y,0,supervisor,-0.21493879215438036
0.21600000000000014,y,1,supervisor,0.0
0.21600000000000014,z,0,supervisor,1.025
0.21600000000000014,z,1,supervisor,0.0
0.22400000000000014,x,0,supervisor,0.2812592947249913
0.22400000000000014,x,1,supervisor,0.0
0.22400000000000014,y,0,supervisor,-0.2097792542907913
0.22400000000000014,y,1,supervisor,0.0
0.22400000000000014,z,0,supervisor,1.025
0.22400000000000014,z,1,supervisor,0.0
0.23200000000000015,x,0,supervisor,0.2857194900246417
0.23200000000000015,x,1,supervisor,0.0
0.23200000000000015,y,0,supervisor,-0.20434736753885202
0.23200000000000015,y,1,supervisor,0.0
0.23200000000000015,z,0,supervisor,1.025
0.23200000000000015,z,1,supervisor,0.0
0.24000000000000016,x,0,supervisor,0.29020192374004516
0.24000000000000016,x,1,supervisor,0.0
0.24000000000000016,y,0,supervisor,-0.19863656123074883
0.24000000000000016,y,1,supervisor,0.0
0.24000000000000016,z,0,supervisor,1.025
0.24000000000000016,z,1,supervisor,0.0
0.24800000000000016,x,0,supervisor,0.2946935250593383
0.24800000000000016,x,1,supervisor,0.0
0.24800000000000016,y,0,supervisor,-0.19264047313091082
0.24800000000000016,y,1,supervisor,0.0
0.24800000000000016,z,0,supervisor,1.025
0.24800000000000016,z,1,supervisor,0.0
0.25600000000000017,x,0,supervisor,0.29918053222698954
0.25600000000000017,x,1,supervisor,0.0
0.25600000000000017,y,0,supervisor,-0.18635299712206205
0.25600000000000017,y,1,supervisor,0.0
0.25600000000000017,z,0,supervisor,1.025
0.25600000000000017,z,1,supervisor,0.0
0.2640000000000002,x,0,supervisor,0.30364848214998297
0.2640000000000002,x,1,supervisor,0.0
0.2640000000000002,y,0,supervisor,-0.17976833338497494
0.2640000000000002,y,1,supervisor,0.0
0.2640000000000002,z,0,supervisor,1.025
0.2640000000000002,z,1,supervisor,0.0
0.2720000000000002,x,0,supervisor,0.3080822020784225
0.2720000000000002,x,1,supervisor,0.0
0.2720000000000002,y,0,supervisor,-0.17288104107307445
0.2720000000000002,y,1,supervisor,0.0
0.2720000000000002,z,0,supervisor,1.025
0.2720000000000002,z,1,supervisor,0.0
0.2800000000000002,x,0,supervisor,0.3124658036189021
0.2800000000000002,x,1,supervisor,0.0
0.2800000000000002,y,0,supervisor,-0.1656860934683226
0.2800000000000002,y,1,supervisor,0.0
0.2800000000000002,z,0,supervisor,1.025
0.2800000000000002,z,1,supervisor,0.0
0.2880000000000002,x,0,supervisor,0.3167826793498673
0.2880000000000002,x,1,supervisor,0.0
0.2880000000000002,y,0,supervisor,-0.15817893558852636
0.2880000000000002,y,1,supervisor,0.0
0.2880000000000002,z,0,supervisor,1.025
0.2880000000000002,z,1,supervisor,0.0
0.2960000000000002,x,0,supervisor,0.32101550231856174
0.2960000000000002,x,1,supervisor,0.0
0.2960000000000002,y,0,supervisor,-0.1503555441982819
0.2960000000000002,y,1,supervisor,0.0
0.2960000000000002,z,0,supervisor,1.025
0.2960000000000002,z,1,supervisor,0.0
0.3040000000000002,x,0,supervisor,0.3251462287088342
0.3040000000000002,x,1,supervisor,0.0
0.3040000000000002,y,0,supervisor,-0.1422124901561832
0.3040000000000002,y,1,supervisor,0.0
0.3040000000000002,z,0,supervisor,1.025
0.3040000000000002,z,1,supervisor,0.0
0.3120000000000002,x,0,supervisor,0.32915610397796724
0.3120000000000002,x,1,supervisor,0.0
0.3120000000000002,y,0,supervisor,-0.13374700300958392
0.3120000000000002,y,1,supervisor,0.0
0.3120000000000002,z,0,supervisor,1.025
0.3120000000000002,z,1,supervisor,0.0
0.32000000000000023,x,0,supervisor,0.333025672768565
0.32000000000000023,x,1,supervisor,0.0
0.32000000000000023,y,0,supervisor,-0.12495703772515045
0.32000000000000023,y,1,supervisor,0.0
0.32000000000000023,z,0,supervisor,1.025
0.32000000000000023,z,1,supervisor,0.0
0.32800000000000024,x,0,supervisor,0.33673479290827124
0.32800000000000024,x,1,supervisor,0.0
0.32800000000000024,y,0,supervisor,-0.11584134341859012
0.32800000000000024,y,1,supervisor,0.0
0.32800000000000024,z,0,supervisor,1.025
0.32800000000000024,z,1,supervisor,0.0
0.33600000000000024,x,0,supervisor,0.34026265381545595
0.33600000000000024,x,1,supervisor,0.0
0.33600000000000024,y,0,supervisor,-0.10639953392032882
0.33600000000000024,y,1,supervisor,0.0
0.33600000000000024,z,0,supervisor,1.025
0.33600000000000024,z,1,supervisor,0.0
0.34400000000000025,x,0,supervisor,0.34126666217466295
0.34400000000000025,x,1,supervisor,0.0
0.34400000000000025,y,0,supervisor,-0.10453427996673845
0.34400000000000025,y,1,supervisor,0.0
0.34400000000000025,z,0,supervisor,1.025
0.34400000000000025,z,1,supervisor,0.0
0.35200000000000026,x,0,supervisor,0.34233567293232636
0.35200000000000026,x,1,supervisor,0.0
0.35200000000000026,y,0,supervisor,-0.10383027996673845
0.35200000000000026,y,1,supervisor,0.0
0.35200000000000026,z,0,supervisor,1.025
0.35200000000000026,z,1,supervisor,0.0
0.36000000000000026,x,0,supervisor,0.34393918906882137
0.36000000000000026,x,1,supervisor,0.0
0.36000000000000026,y,0,supervisor,-0.10277427996673845
0.36000000000000026,y,1,supervisor,0.0
0.36000000000000026,z,0,supervisor,1.025
0.36000000000000026,z,1,supervisor,0.0
0.36800000000000027,x,0,supervisor,0.3460772105841481
0.36800000000000027,x,1,supervisor,0.0
0.36800000000000027,y,0,supervisor,-0.10136627996673844
0.36800000000000027,y,1,supervisor,0.0
0.36800000000000027,z,0,supervisor,1.025
0.36800000000000027,z,1,supervisor,0.0
0.3760000000000003,x,0,supervisor,0.3487497374783065
0.3760000000000003,x,1,supervisor,0.0
0.3760000000000003,y,0,supervisor,-0.09960627996673845
0.3760000000000003,y,1,supervisor,0.0
0.3760000000000003,z,0,supervisor,1.025
0.3760000000000003,z,1,supervisor,0.0
0.3840000000000003,x,0,supervisor,0.35195676975129664
0.3840000000000003,x,1,supervisor,0.0
0.3840000000000003,y,0,supervisor,-0.09749427996673844
0.3840000000000003,y,1,supervisor,0.0
0.3840000000000003,z,0,supervisor,1.025
0.3840000000000003,z,1,supervisor,0.0
0.3920000000000003,x,0,supervisor,0.35569830740311836
0.3920000000000003,x,1,supervisor,0.0
0.3920000000000003,y,0,supervisor,-0.09503027996673845
0.3920000000000003,y,1,supervisor,0.0
0.3920000000000003,z,0,supervisor,1.025
0.3920000000000003,z,1,supervisor,0.0
0.4000000000000003,x,0,supervisor,0.35997435043377185
0.4000000000000003,x,1,supervisor,0.0
0.4000000000000003,y,0,supervisor,-0.09221427996673845
0.4000000000000003,y,1,supervisor,0.0
0.4000000000000003,z,0,supervisor,1.025
0.4000000000000003,z,1,supervisor,0.0
0.4080000000000003,x,0,supervisor,0.364784898843257
0.4080000000000003,x,1,supervisor,0.0
0.4080000000000003,y,0,supervisor,-0.08904627996673845
0.4080000000000003,y,1,supervisor,0.0
0.4080000000000003,z,0,supervisor,1.025
0.4080000000000003,z,1,supervisor,0.0
0.4160000000000003,x,0,supervisor,0.37012995263157383
0.4160000000000003,x,1,supervisor,0.0
0.4160000000000003,y,0,supervisor,-0.08552627996673845
0.4160000000000003,y,1,supervisor,0.0
0.4160000000000003,z,0,supervisor,1.025
0.4160000000000003,z,1,supervisor,0.0
0.4240000000000003,x,0,supervisor,0.37600951179872233
0.4240000000000003,x,1,supervisor,0.0
0.4240000000000003,y,0,supervisor,-0.08165427996673844
0.4240000000000003,y,1,supervisor,0.0
0.4240000000000003,z,0,supervisor,1.025
0.4240000000000003,z,1,supervisor,0.0
0.43200000000000033,x,0,supervisor,0.3824235763447025
0.43200000000000033,x,1,supervisor,0.0
0.43200000000000033,y,0,supervisor,-0.07743027996673846
0.43200000000000033,y,1,supervisor,0.0
0.43200000000000033,z,0,supervisor,1.025
0.43200000000000033,z,1,supervisor,0.0
0.44000000000000034,x,0,supervisor,0.3893721462695144
0.44000000000000034,x,1,supervisor,0.0
0.44000000000000034,y,0,supervisor,-0.07285427996673846
0.44000000000000034,y,1,supervisor,0.0
0.44000000000000034,z,0,supervisor,1.025
0.44000000000000034,z,1,supervisor,0.0
0.44800000000000034,x,0,supervisor,0.3968552215731579
0.44800000000000034,x,1,supervisor,0.0
0.44800000000000034,y,0,supervisor,-0.06792627996673847
0.44800000000000034,y,1,supervisor,0.0
0.44800000000000034,z,0,supervisor,1.025
0.44800000000000034,z,1,supervisor,0.0
0.45600000000000035,x,0,supervisor,0.40487280225563316
0.45600000000000035,x,1,supervisor,0.0
0.45600000000000035,y,0,supervisor,-0.06264627996673847
0.45600000000000035,y,1,supervisor,0.0
0.45600000000000035,z,0,supervisor,1.025
0.45600000000000035,z,1,supervisor,0.0
0.46400000000000036,x,0,supervisor,0.4134248883169401
0.46400000000000036,x,1,supervisor,0.0
0.46400000000000036,y,0,supervisor,-0.05701427996673847
0.46400000000000036,y,1,supervisor,0.0
0.46400000000000036,z,0,supervisor,1.025
0.46400000000000036,z,1,supervisor,0.0
0.47200000000000036,x,0,supervisor,0.42251147975707865
0.47200000000000036,x,1,supervisor,0.0
0.47200000000000036,y,0,supervisor,-0.05103027996673845
0.47200000000000036,y,1,supervisor,0.0
0.47200000000000036,z,0,supervisor,1.025
0.47200000000000036,z,1,supervisor,0.0
0.48000000000000037,x,0,supervisor,0.4321325765760489
0.48000000000000037,x,1,supervisor,0.0
0.48000000000000037,y,0,supervisor,-0.04469427996673847
0.48000000000000037,y,1,supervisor,0.0
0.48000000000000037,z,0,supervisor,1.025
0.48000000000000037,z,1,supervisor,0.0
0.4880000000000004,x,0,supervisor,0.4422881787738509
0.4880000000000004,x,1,supervisor,0.0
0.4880000000000004,y,0,supervisor,-0.03800627996673847
0.4880000000000004,y,1,supervisor,0.0
0.4880000000000004,z,0,supervisor,1.025
0.4880000000000004,z,1,supervisor,0.0
0.4960000000000004,x,0,supervisor,0.45297828635048454
0.4960000000000004,x,1,supervisor,0.0
0.4960000000000004,y,0,supervisor,-0.03096627996673848
0.4960000000000004,y,1,supervisor,0.0
0.4960000000000004,z,0,supervisor,1.025
0.4960000000000004,z,1,supervisor,0.0
0.5040000000000003,x,0,supervisor,0.4642028993059499
0.5040000000000003,x,1,supervisor,0.0
0.5040000000000003,y,0,supervisor,-0.02357427996673847
0.5040000000000003,y,1,supervisor,0.0
0.5040000000000003,z,0,supervisor,1.025
0.5040000000000003,z,1,supervisor,0.0
0.5120000000000003,x,0,supervisor,0.4759620176402469
0.5120000000000003,x,1,supervisor,0.0
0.5120000000000003,y,0,supervisor,-0.01583027996673847
0.5120000000000003,y,1,supervisor,0.0
0.5120000000000003,z,0,supervisor,1.025
0.5120000000000003,z,1,supervisor,0.0
0.5200000000000004,x,0,supervisor,0.4882556413533756
0.5200000000000004,x,1,supervisor,0.0
0.5200000000000004,y,0,supervisor,-0.00773427996673845
0.5200000000000004,y,1,supervisor,0.0
0.5200000000000004,z,0,supervisor,1.025
0.5200000000000004,z,1,supervisor,0.0
0.5280000000000004,x,0,supervisor,0.5
0.5280000000000004,x,1,supervisor,0.0
0.5280000000000004,y,0,supervisor,-8.326672684688674e-17
0.5280000000000004,y,1,supervisor,0.0
